Produce,Qty,Price
"Almonds",1,9.847735808065018
"Apple",2,8.817045052435095
"Apple",9,8.069344079612677
"Oranges",3,6.752353384550342
"Apple",4,8.295843727739298
"Grapes",6,2.9478128694219583
"Apple",9,8.356357128244907
"Apple",8,1.5326054084342575
"Almonds",4,8.883667631265567
"Almonds",1,2.2175258549605883
"Walnuts",5,8.817777814712016
"Pears",1,5.014318096637743
"Almonds",3,5.100668051463732
"Pears",5,9.040873772073251
"Almonds",3,4.228208125929523
"Pears",3,7.4030933931397485
"Oranges",9,2.9992885192710887
"Almonds",7,9.24865434849617
"Almonds",4,6.282872212655476
"Oranges",6,7.227833879679829
"Almonds",7,5.73809089099922
"Walnuts",4,9.907735623589321
"Grapes",1,9.573240456197869
"Walnuts",9,7.194006504957262
"Apple",8,4.660300719684247
"Pears",7,4.960911817440636
"Apple",3,8.903814369628947
"Apple",4,9.95908113087357
"Pears",1,1.9783887129987727
"Apple",1,1.7449481026567888
"Oranges",8,2.3364943530676987
"Almonds",2,7.940138762755523
"Oranges",10,2.5450363651014345
"Apple",6,1.910600363333859
"Oranges",3,5.845913836204021
"Grapes",5,6.495024712074475
"Almonds",5,4.1928879281664955
"Almonds",4,4.673764755892956
"Almonds",1,8.445639625645871
"Apple",8,4.83973028449182
"Apple",4,7.658876595133034
"Pears",10,8.784520642716682
"Pears",9,4.635691588723608
"Apple",5,4.2018925722271
"Grapes",5,9.86496126673262
"Oranges",10,8.048340998327014
"Apple",8,2.4630847832950913
"Apple",2,5.111378509174388
"Grapes",8,6.458919529027874
"Apple",7,7.577955700399875
"Walnuts",10,9.976806693221118
"Grapes",7,5.579875848870554
"Pears",9,8.650092367819141
"Oranges",4,3.6144174014595714
"Grapes",1,4.801749294349314
"Grapes",4,2.5347441318650423
"Grapes",1,6.71981371435115
"Almonds",1,4.516913474933857
"Pears",10,3.6033015770590393
"Oranges",10,7.693141841575134
"Apple",3,4.827485822640639
"Almonds",5,3.0929988377327735
"Pears",5,6.359659698729058
"Walnuts",1,3.9810004361263545
"Oranges",10,1.6519629895147638
"Pears",2,3.2886414566346063
"Walnuts",1,2.3169315019122485
"Walnuts",8,2.494060411906773
"Apple",3,6.098891277132094
"Grapes",5,6.50859011216162
"Oranges",6,2.107813206418598
"Almonds",9,6.231159718888373
"Pears",6,4.89362461508027
"Apple",4,8.692149842250242
"Walnuts",4,4.005892087313834
"Oranges",9,2.4027230782658524
"Oranges",8,8.709836226931365
"Grapes",10,3.3088399660634327
"Almonds",3,4.043990485397373
"Apple",2,9.723076566404293
"Oranges",3,6.917065568911404
"Walnuts",2,3.4177767090093587
"Almonds",7,5.101310040775468
"Oranges",5,5.691820434174166
"Apple",8,5.985290971307629
"Pears",9,8.958550834896133
"Almonds",1,2.8795148441129856
"Almonds",2,8.250775713238745
"Apple",8,3.9541751946780503
"Almonds",1,6.742700142524077
"Oranges",4,9.156786603322056
"Walnuts",4,9.993261024493368
"Almonds",7,6.434041874062436
"Pears",10,9.543744979248883
"Oranges",10,4.308343524513191
"Apple",9,2.688619121291816
"Grapes",4,5.783985720265107
"Walnuts",9,5.60929627111123
"Pears",1,2.761007654724727
"Pears",1,6.287469363570464
"Grapes",8,7.557574681848529
"Oranges",1,7.433653057099615
"Apple",2,3.189277726146223
"Pears",6,4.4317029026587065
"Almonds",3,6.383871371580899
"Pears",6,3.0612877373224725
"Walnuts",8,4.911092751059536
"Pears",6,7.023247529645347
"Almonds",7,8.797053406277916
"Pears",9,2.6349295017599212
"Oranges",9,3.1273348103523593
"Pears",2,9.867433464567776
